,Precision,Recall,F1,Support
Entire Agreement,0.6667,0.6667,0.6667,3.0
Notices,0.4062,0.65,0.5,20.0
Amendments,0.6842,0.3514,0.4643,37.0
Assignment,0.3711,0.3303,0.3495,109.0
Term and Termination,0.2917,0.3043,0.2979,23.0
Governing Law,0.2273,0.3333,0.2703,15.0
Confidentiality,0.1176,1.0,0.2105,2.0
Representations and Warranties,0.6111,0.1107,0.1875,298.0
Parties,0.0566,0.0484,0.0522,62.0
Payment,0.0233,0.5,0.0444,2.0
General Provisions,0.008,0.2222,0.0154,9.0
Force Majeure,0.0,0.0,0.0,8.0
Indemnification,0.0,0.0,0.0,4.0
Limitation of Liability,0.0,0.0,0.0,6.0
Intellectual Property,0.0,0.0,0.0,0.0
Severability,0.0,0.0,0.0,34.0
